iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0003069	Sequencing		Sequencing assay	Sample											EUPATH_0000603
EUPATH_0000587	Environment information		Community	Sample											
OBI_0100051	Sample type	string	Sample details	Sample								4	["Adult cuticle","Adult internal","Larvae cuticle","Larvae internal"]	["EMP_2192_Gilbert_House.txt::sample_type","EMP_1928_HMP_V35.txt::sample_type","EMP_1064_Bee_Microbiome.txt::sample_type","Ciara_V1V3.txt::sample_type","DailyBaby.txt::sample_type","PIH_Uganda.txt::sample_type","EMP_1927_HMP_V13.txt::sample_type","Resistome.txt::sample_type","NICUDischarge.txt::sample_type","DiabImmune.txt::sample_type","Malaysia_Helminth.txt::sample_type","StLouisNICU.txt::sample_type","MORDOR_metatranscriptome.txt::sample_type","Bangladesh_healthy_5yr.txt::sample_type","FARMM_metagenomics.txt::sample_type","EMP_10249_ECAM.txt::sample_type","EcoCF.txt::sample_type","MALED_healthy.txt::sample_type","UgandaMaternal.txt::Sample type","HMPWgs.txt::sample_type","ENTiCE.txt::sample_type","Ciara_V4.txt::sample_type","BONUS.txt::sample_type","EMP_797_Song_Family.txt::sample_type","GEMS.txt::sample_type","MALED_diarrhea.txt::sample_type","AnophelesAlbimanus.txt::sample_type","NICUNEC.txt::sample_type","CAMP.txt::sample_type"]	
SO_0001000	Region of 16S rRNA sequenced	string	Sequencing	Sample								1	["V3-V4"]	["Ciara_V1V3.txt::region","MALED_diarrhea.txt::region","ENTiCE.txt::region","EMP_2192_Gilbert_House.txt::region","EcoCF.txt::region","PIH_Uganda.txt::region","Ciara_V4.txt::region","Bangladesh_healthy_5yr.txt::region","CAMP.txt::region","EMP_797_Song_Family.txt::region","GEMS.txt::region","EMP_1928_HMP_V35.txt::region","MALED_healthy.txt::region","EMP_10249_ECAM.txt::region","StLouisNICU.txt::region","DailyBaby.txt::region","AnophelesAlbimanus.txt::region","EMP_1927_HMP_V13.txt::region"]	
UBERON_0000061	Host body site	string	Participant	Sample	name of body site where the sample was obtained from							2	["cuticle","internal organs"]	["EcoCF.txt::body_site","EMP_1927_HMP_V13.txt::body_site","MORDOR_metatranscriptome.txt::host_body_site","ENTiCE.txt::body_site","MALED_diarrhea.txt::body_site","NICUDischarge.txt::body_site","UgandaMaternal.txt::body_site","Malaysia_Helminth.txt::body_site","StLouisNICU.txt::body_site","PIH_Uganda.txt::body_site","Bangladesh_healthy_5yr.txt::body_site","DiabImmune.txt::body_site","MALED_healthy.txt::body_site","CAMP.txt::body_site","EMP_797_Song_Family.txt::body_site","EMP_1064_Bee_Microbiome.txt::body_site","DailyBaby.txt::body_site","Resistome.txt::body_site","HMPWgs.txt::body_site","EMP_1928_HMP_V35.txt::body_site","AnophelesAlbimanus.txt::body_site","NICUNEC.txt::body_site","EMP_2192_Gilbert_House.txt::body_site","Ciara_V1V3.txt::body_site","Ciara_V4.txt::body_site","BONUS.txt::body_site","GEMS.txt::body_site","EMP_10249_ECAM.txt::body_site","FARMM_metagenomics.txt::host_body_site"]	
UBERON_0000466	Host body habitat	string	Participant	Sample	original body habitat where the sample was obtained from							2	["cuticle","internal organs"]	["EMP_1927_HMP_V13.txt::body_habitat","Resistome.txt::body_habitat","NICUDischarge.txt::body_habitat","EcoCF.txt::body_habitat","UgandaMaternal.txt::body_habitat","BONUS.txt::body_habitat","NICUNEC.txt::body_habitat","FARMM_metagenomics.txt::body_habitat","GEMS.txt::body_habitat","AnophelesAlbimanus.txt::body_habitat","HMPWgs.txt::body_habitat","PIH_Uganda.txt::body_habitat","EMP_797_Song_Family.txt::body_habitat","EMP_2192_Gilbert_House.txt::body_habitat","Ciara_V4.txt::body_habitat","Bangladesh_healthy_5yr.txt::body_habitat","StLouisNICU.txt::body_habitat","MALED_healthy.txt::body_habitat","Ciara_V1V3.txt::body_habitat","EMP_1064_Bee_Microbiome.txt::body_habitat","EMP_10249_ECAM.txt::body_habitat","EMP_1928_HMP_V35.txt::body_habitat","ENTiCE.txt::body_habitat","DailyBaby.txt::body_habitat","MALED_diarrhea.txt::body_habitat","Malaysia_Helminth.txt::body_habitat","DiabImmune.txt::body_habitat","CAMP.txt::body_habitat"]	
ENVO_01000739	Habitat	string	Environment information	Sample								1	["Insect"]	["EMP_1064_Bee_Microbiome.txt::env_feature","StLouisNICU.txt::env_feature","DailyBaby.txt::env_feature","EMP_1928_HMP_V35.txt::env_feature","EcoCF.txt::env_feature","BONUS.txt::env_feature","Resistome.txt::env_feature","EMP_2192_Gilbert_House.txt::env_feature","CAMP.txt::env_feature","EMP_797_Song_Family.txt::env_feature","NICUNEC.txt::env_feature","NICUDischarge.txt::env_feature","Bangladesh_healthy_5yr.txt::env_feature","Ciara_V1V3.txt::env_feature","MALED_healthy.txt::env_feature","PIH_Uganda.txt::env_feature","MALED_diarrhea.txt::env_feature","GEMS.txt::env_feature","MORDOR_metatranscriptome.txt::body_habitat","UgandaMaternal.txt::env_feature","Ciara_V4.txt::env_feature","EMP_1927_HMP_V13.txt::env_feature","DiabImmune.txt::env_feature","EMP_10249_ECAM.txt::env_feature","HMPWgs.txt::env_feature","AnophelesAlbimanus.txt::env_feature","FARMM_metagenomics.txt::env_feature","ENTiCE.txt::env_feature"]	ENVO_00002297
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V4) assay											
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
