Sample_Id	Participant_Id	Habitat [ENVO_01000739]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]
SRS4060783.SRR8216242	SRS4060783.SRR8216242 (Source)	Insect	V3-V4	Larvae internal
SRS4060784.SRR8216241	SRS4060784.SRR8216241 (Source)	Insect	V3-V4	Larvae internal
SRS4060785.SRR8216240	SRS4060785.SRR8216240 (Source)	Insect	V3-V4	Larvae internal
SRS4060786.SRR8216239	SRS4060786.SRR8216239 (Source)	Insect	V3-V4	Larvae internal
SRS4060787.SRR8216238	SRS4060787.SRR8216238 (Source)	Insect	V3-V4	Larvae internal
SRS4060788.SRR8216237	SRS4060788.SRR8216237 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060789.SRR8216236	SRS4060789.SRR8216236 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060790.SRR8216235	SRS4060790.SRR8216235 (Source)	Insect	V3-V4	Adult cuticle
SRS4060791.SRR8216234	SRS4060791.SRR8216234 (Source)	Insect	V3-V4	Adult internal
SRS4060792.SRR8216233	SRS4060792.SRR8216233 (Source)	Insect	V3-V4	Adult internal
SRS4060793.SRR8216231	SRS4060793.SRR8216231 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060794.SRR8216232	SRS4060794.SRR8216232 (Source)	Insect	V3-V4	Adult internal
SRS4060795.SRR8216230	SRS4060795.SRR8216230 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060796.SRR8216229	SRS4060796.SRR8216229 (Source)	Insect	V3-V4	Adult cuticle
SRS4060797.SRR8216228	SRS4060797.SRR8216228 (Source)	Insect	V3-V4	Adult internal
SRS4060798.SRR8216227	SRS4060798.SRR8216227 (Source)	Insect	V3-V4	Adult internal
SRS4060799.SRR8216226	SRS4060799.SRR8216226 (Source)	Insect	V3-V4	Adult internal
SRS4060800.SRR8216225	SRS4060800.SRR8216225 (Source)	Insect	V3-V4	Adult internal
SRS4060801.SRR8216224	SRS4060801.SRR8216224 (Source)	Insect	V3-V4	Larvae internal
SRS4060802.SRR8216223	SRS4060802.SRR8216223 (Source)	Insect	V3-V4	Larvae internal
SRS4060803.SRR8216221	SRS4060803.SRR8216221 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060804.SRR8216222	SRS4060804.SRR8216222 (Source)	Insect	V3-V4	Larvae internal
SRS4060805.SRR8216220	SRS4060805.SRR8216220 (Source)	Insect	V3-V4	Larvae internal
SRS4060806.SRR8216219	SRS4060806.SRR8216219 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060807.SRR8216218	SRS4060807.SRR8216218 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060808.SRR8216217	SRS4060808.SRR8216217 (Source)	Insect	V3-V4	Larvae cuticle
SRS4060809.SRR8216216	SRS4060809.SRR8216216 (Source)	Insect	V3-V4	Larvae internal
SRS4060810.SRR8216215	SRS4060810.SRR8216215 (Source)	Insect	V3-V4	Larvae internal
