iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000587	Environment information		Community	Sample	An information content entity about environmental material, environmental feature, environmental system, etc.										
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0000070	Laboratory test		Sample	Sample											OGMS_0000056
ENVO_01000739	Habitat	string	Environment information	Sample	An environmental system which can sustain and allow the growth of an ecological population.							1	["Human"]	["BONUS.txt::env_feature"]	ENVO_00002297
OBI_0100051	Sample type	string	Sample details	Sample	A material entity that has the specimen role.							1	["Stool"]	["BONUS.txt::sample_type"]	
UBERON_0000061	Host body site	string	Participant	Sample	name of body site where the sample was obtained from							1	["Colon"]	["BONUS.txt::body_site"]	
UBERON_0000463	Host body product	string	Participant	Sample	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA							1	["Feces"]	["BONUS.txt::body_product"]	
UBERON_0000466	Host body habitat	string	Participant	Sample	original body habitat where the sample was obtained from							1	["Colon"]	["BONUS.txt::body_habitat"]	
EUPATH_0009245	Fecal fat	number	Laboratory test	Sample		0	100	48.4607711864407	50	71.43	26.97	102		["BONUS.txt::Fecal fat percentage"]	
NCIT_C105971	Calprotectin	number	Laboratory test	Sample		15.4	2925	183.538910969793	114.4	218.4	53.4	989		["BONUS.txt::Calprotectin"]	
EUPATH_0009247	4th level EC metagenome abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.										
EUPATH_0009248	Metagenome enzyme pathway abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of a pathway defined by EC classifications.										
EUPATH_0009249	Metagenome enzyme pathway coverage data		Metagenome pathway and function analysis	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for gene coverage in a pathway defined by EC classifications.										
EUPATH_0009246	Metagenome pathway and function analysis		Data analysis	Metagenomic sequencing assay	A data transformation of metagenome input sequence data involving mapping to genes with full Enzyme Commision (EC) number enzyme classifications and calculation of pathways.										
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.										
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.										
EUPATH_0009253	Class		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.										
EUPATH_0009254	Order		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of order.										
EUPATH_0009255	Family		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of family.										
EUPATH_0009256	Genus		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of genus.										
EUPATH_0009257	Species		Relative taxonomic abundance analysis	Metagenomic sequencing assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of species.										
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	Metagenomic sequencing assay	A data transformation of input sequence data to obtain the fraction of relative abundance of organisms.										
EUPATH_0009268	Fungal taxon detected by sequence match		Taxon detected by sequence match	Metagenomic sequencing assay	A taxon detected by sequence match that indicates whether a fungal taxon was detected.										
EUPATH_0009267	Taxon detected by sequence match		CORRAL eukaryote detection and abundance analysis	Metagenomic sequencing assay	A data item that indicates whether a method applied to data coming from a sequencing assay of the sample has detected a taxon through identifying sequences associated with organisms of a particular taxonomic grouping.										
EUPATH_0009269	Normalized number of taxon-specific sequence matches		CORRAL eukaryote detection and abundance analysis	Metagenomic sequencing assay	A data item of the normalized number of sequences that match a specific taxon.										
EUPATH_0000815	CORRAL eukaryote detection and abundance analysis		Data analysis	Metagenomic sequencing assay	A data transformation that uses data from a whole metagenome sequencing assay and CORRAL (for Clustering Of Related Reference ALignments) software to specify taxa of Eukaryota in a specimen.										IAO_0000027
EUPATH_0009247_1_12_98_4	1.12.98.4: Sulfhydrogenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.108203	40.4228	5.3922450952381	0.601416	3.03004	0.34578	21			
EUPATH_0009247_1_13_11_15	1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.093812	254.62257	31.1085718633166	13.255878	46.017688	2.7715895	995			
EUPATH_0009247_1_13_11_53	1.13.11.53: Acireductone dioxygenase (Ni(2+)-requiring)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay	A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.	0.077239	149.578	12.2065246529492	4.07784	14.112569	0.97446	729			
