iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V4) assay											
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009251_Archaea	Archaea	number	Kingdom	16S rRNA (V4) assay		1.9e-05	0.025767	0.00258715441176	0.0007585	0.0025545	0.000229	258			
EUPATH_0009251_Bacteria	Bacteria	number	Kingdom	16S rRNA (V4) assay		0.974233	1	0.99970861035197	1	1	1	259			
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009252_Archaea_Euryarchaeota	Euryarchaeota	number	Phylum	16S rRNA (V4) assay		1.9e-05	0.025767	0.00258715441176	0.0007585	0.0025545	0.000229	258			
EUPATH_0009252_Bacteria_Abditibacteriota	Abditibacteriota	number	Phylum	16S rRNA (V4) assay		7.4e-05	0.000297	0.0001855	0.0001855	0.000297	7.4e-05	2	["0.000074","0.000297"]		
EUPATH_0009252_Bacteria_Acidobacteriota	Acidobacteriota	number	Phylum	16S rRNA (V4) assay		8.5e-05	8.5e-05	8.5e-05	8.5e-05			1	["0.000085"]		
EUPATH_0009252_Bacteria_Actinobacteriota	Actinobacteriota	number	Phylum	16S rRNA (V4) assay		8.6e-05	0.989235	0.32261122700911	0.2238375	0.520646	0.085941	2410			
EUPATH_0009252_Bacteria_Bacteroidota	Bacteroidota	number	Phylum	16S rRNA (V4) assay		3.8e-05	0.901706	0.08674289874594	0.024099	0.101747	0.003724	2095			
EUPATH_0009252_Bacteria_Bdellovibrionota	Bdellovibrionota	number	Phylum	16S rRNA (V4) assay		6.1e-05	0.000174	0.000103	7.4e-05	0.000124	6.75e-05	3	["0.000061","0.000074","0.000174"]		
EUPATH_0009252_Bacteria_Campilobacterota	Campilobacterota	number	Phylum	16S rRNA (V4) assay		1.6e-05	0.154637	0.00324741153846	0.0003865	0.0013425	0.000166	430			
EUPATH_0009252_Bacteria_Chloroflexi	Chloroflexi	number	Phylum	16S rRNA (V4) assay		8.5e-05	0.000126	0.0001055	0.0001055	0.000126	8.5e-05	2	["0.000085","0.000126"]		
EUPATH_0009252_Bacteria_Cyanobacteria	Cyanobacteria	number	Phylum	16S rRNA (V4) assay		2.5e-05	0.01779	0.00061349393939	0.000233	0.00056	0.000122	262			
EUPATH_0009252_Bacteria_Deferribacterota	Deferribacterota	number	Phylum	16S rRNA (V4) assay		0.000105	0.000105	0.000105	0.000105			1	["0.000105"]		
EUPATH_0009252_Bacteria_Deinococcota	Deinococcota	number	Phylum	16S rRNA (V4) assay		0.000117	0.000126	0.0001215	0.0001215	0.000126	0.000117	2	["0.000117","0.000126"]		
EUPATH_0009252_Bacteria_Desulfobacterota	Desulfobacterota	number	Phylum	16S rRNA (V4) assay		1.6e-05	0.025718	0.00155007262570	0.0005685	0.0016945	0.0002035	573			
