iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000310	Observation details		Participant	prm											
EUPATH_0010981	Demographics		Participant	prm											
OGMS_0000015	Clinical history		Participant	prm											
OBI_0001169	Age	integer	Demographics	prm	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	1	266	115.689642324888	112	173	56	266		["DailyBaby.txt::day_of_life"]	EUPATH_0000579
EUPATH_0000580	Antibiotic exposure	string	Clinical history	prm	was the host exposed to antibiotics?							2	["No","Yes"]	["DailyBaby.txt::antibiotic_exposure"]	
EUPATH_0009123	Antifungal exposure	string	Clinical history	prm								2	["No","Yes"]	["DailyBaby.txt::antifungal_exposure"]	
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V4) assay											
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009251_Archaea	Archaea	number	Kingdom	16S rRNA (V4) assay		0.000142	0.007799	0.00217457142857	0.000493	0.003057	0.000337	7	["0.000142","0.000267","0.000407","0.000493","0.002357","0.003757","0.007799"]		
EUPATH_0009251_Bacteria	Bacteria	number	Kingdom	16S rRNA (V4) assay		0.992144	1	0.99999081967213	1	1	1	9	["0.992144","0.992201","0.995348","0.997595","0.999114","0.999507","0.999593","0.999858","1.000000"]		
EUPATH_0009251_Eukaryota	Eukaryota	number	Kingdom	16S rRNA (V4) assay		0.000886	0.004099	0.0023545	0.0022165	0.003197	0.001512	4	["0.000886","0.002138","0.002295","0.004099"]		
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009252_Archaea_Euryarchaeota	Euryarchaeota	number	Phylum	16S rRNA (V4) assay		0.000267	0.003757	0.0014562	0.000493	0.002357	0.000407	5	["0.000267","0.000407","0.000493","0.002357","0.003757"]		
EUPATH_0009252_Archaea_Nanoarchaeota	Nanoarchaeota	number	Phylum	16S rRNA (V4) assay		0.007799	0.007799	0.007799	0.007799			1	["0.007799"]		
EUPATH_0009252_Archaea_Thermoplasmatota	Thermoplasmatota	number	Phylum	16S rRNA (V4) assay		0.000142	0.000142	0.000142	0.000142			1	["0.000142"]		
EUPATH_0009252_Bacteria_Acidobacteriota	Acidobacteriota	number	Phylum	16S rRNA (V4) assay		0.000447	0.004899	0.00187333333333	0.0014685	0.002389	0.000568	6	["0.000447","0.000568","0.001305","0.001632","0.002389","0.004899"]		
EUPATH_0009252_Bacteria_Actinobacteriota	Actinobacteriota	number	Phylum	16S rRNA (V4) assay		0.000166	0.906144	0.16979633140878	0.060346	0.157643	0.027027	2577			
EUPATH_0009252_Bacteria_Aquificota	Aquificota	number	Phylum	16S rRNA (V4) assay		0.000181	0.001632	0.00062385714286	0.000481	0.0006355	0.000401	7	["0.000181","0.000355","0.000447","0.000481","0.000560","0.000711","0.001632"]		
EUPATH_0009252_Bacteria_Armatimonadota	Armatimonadota	number	Phylum	16S rRNA (V4) assay		0.001937	0.013576	0.0077565	0.0077565	0.013576	0.001937	2	["0.001937","0.013576"]		
EUPATH_0009252_Bacteria_Bacteroidota	Bacteroidota	number	Phylum	16S rRNA (V4) assay		0.000226	0.910174	0.34038170410856	0.236889	0.618557	0.063376	2649			
EUPATH_0009252_Bacteria_Bdellovibrionota	Bdellovibrionota	number	Phylum	16S rRNA (V4) assay		0.012156	0.012156	0.012156	0.012156			1	["0.012156"]		
EUPATH_0009252_Bacteria_Caldisericota	Caldisericota	number	Phylum	16S rRNA (V4) assay		0.000587	0.000587	0.000587	0.000587			1	["0.000587"]		
EUPATH_0009252_Bacteria_Campilobacterota	Campilobacterota	number	Phylum	16S rRNA (V4) assay		0.000142	0.041257	0.00352467932489	0.002548	0.004585	0.00124	677			
EUPATH_0009252_Bacteria_Chloroflexi	Chloroflexi	number	Phylum	16S rRNA (V4) assay		0.001588	0.001588	0.001588	0.001588			1	["0.001588"]		
EUPATH_0009252_Bacteria_Chrysiogenetota	Chrysiogenetota	number	Phylum	16S rRNA (V4) assay		0.000497	0.008076	0.00348866666667	0.001893	0.0049845	0.001195	3	["0.000497","0.001893","0.008076"]		
EUPATH_0009252_Bacteria_Cyanobacteria	Cyanobacteria	number	Phylum	16S rRNA (V4) assay		0.000107	0.030503	0.00337795726496	0.002421	0.004291	0.001135	342			
EUPATH_0009252_Bacteria_Deferribacterota	Deferribacterota	number	Phylum	16S rRNA (V4) assay		0.000232	0.000718	0.000475	0.000475	0.000718	0.000232	2	["0.000232","0.000718"]		
EUPATH_0009252_Bacteria_Deinococcota	Deinococcota	number	Phylum	16S rRNA (V4) assay		0.000355	0.000606	0.0004805	0.0004805	0.000606	0.000355	2	["0.000355","0.000606"]		
EUPATH_0009252_Bacteria_Desulfobacterota	Desulfobacterota	number	Phylum	16S rRNA (V4) assay		8.9e-05	0.014689	0.00285286666667	0.001802	0.0040845	0.0006755	74			
EUPATH_0009252_Bacteria_Dictyoglomota	Dictyoglomota	number	Phylum	16S rRNA (V4) assay		0.000808	0.001566	0.001187	0.001187	0.001566	0.000808	2	["0.000808","0.001566"]		
