Sample_Id	participant_repeated_measure_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample collection device or method [OBI_0003070]	Sample type [OBI_0100051]
SRR7039285	ID1_233 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039286	ID1_234 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039287	ID1_231 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039288	ID1_232 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039289	ID1_237 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039290	ID1_238 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039291	ID1_235 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039292	ID1_236 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039293	ID1_239 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039294	ID1_240 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039295	ID1_228 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039296	ID1_141 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039297	ID1_142 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039298	ID1_143 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039299	ID1_144 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039300	ID1_145 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039301	ID1_146 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039302	ID1_147 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039303	ID1_148 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039304	ID1_149 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039305	ID1_150 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039306	ID1_78 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039307	ID1_95 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039308	ID1_80 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039309	ID1_79 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039310	ID1_74 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039311	ID1_73 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039312	ID1_72 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039313	ID1_71 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039314	ID1_227 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039315	ID1_77 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039316	ID1_76 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039317	ID1_75 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039318	ID1_98 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039319	ID1_222 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039320	ID1_221 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039321	ID1_224 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039322	ID1_223 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039323	ID1_226 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039324	ID1_225 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039325	ID1_160 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039326	ID1_159 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039327	ID1_158 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039328	ID1_157 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039329	ID1_156 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039330	ID1_155 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039331	ID1_154 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039332	ID1_153 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039333	ID1_152 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039334	ID1_151 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039335	ID1_97 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039336	ID1_65 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
SRR7039337	ID1_66 (Source)	ID1 (Source)	Colon	Feces	Colon	V4	Frozen upon collection	Stool
