iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V4) assay											
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009251_Archaea	Archaea	number	Kingdom	16S rRNA (V4) assay		8.9e-05	0.006664	0.00119183098592	0.000792	0.0015705	0.0002955	70			
EUPATH_0009251_Bacteria	Bacteria	number	Kingdom	16S rRNA (V4) assay		0.993336	1	0.99992783552632	1	1	1	81			
EUPATH_0009251_Eukaryota	Eukaryota	number	Kingdom	16S rRNA (V4) assay		4.4e-05	0.00061	0.00018429411765	0.000136	0.000254	9.6e-05	17			
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V4) assay											
EUPATH_0009252_Archaea_Euryarchaeota	Euryarchaeota	number	Phylum	16S rRNA (V4) assay		8.9e-05	0.004364	0.00087552941176	0.0005875	0.0012225	0.000223	67			
EUPATH_0009252_Archaea_Nanoarchaeota	Nanoarchaeota	number	Phylum	16S rRNA (V4) assay		0.000366	0.000792	0.00059766666667	0.000635	0.0007135	0.0005005	3	["0.000366","0.000635","0.000792"]		
EUPATH_0009252_Archaea_Thermoplasmatota	Thermoplasmatota	number	Phylum	16S rRNA (V4) assay		9.2e-05	0.006184	0.00179176923077	0.001102	0.002428	0.000376	13			
EUPATH_0009252_Bacteria_Abditibacteriota	Abditibacteriota	number	Phylum	16S rRNA (V4) assay		0.000147	0.000288	0.0002175	0.0002175	0.000288	0.000147	2	["0.000147","0.000288"]		
EUPATH_0009252_Bacteria_Acidobacteriota	Acidobacteriota	number	Phylum	16S rRNA (V4) assay		0.000165	0.006319	0.0018034	0.001631	0.00256	0.000241	10	["0.000165","0.000191","0.000241","0.000319","0.000884","0.002378","0.002401","0.002560","0.002576","0.006319"]		
EUPATH_0009252_Bacteria_Actinobacteriota	Actinobacteriota	number	Phylum	16S rRNA (V4) assay		9.2e-05	0.995775	0.12107202506266	0.038887	0.175731	0.007741	1181			
EUPATH_0009252_Bacteria_Aquificota	Aquificota	number	Phylum	16S rRNA (V4) assay		0.000449	0.000449	0.000449	0.000449			1	["0.000449"]		
EUPATH_0009252_Bacteria_Armatimonadota	Armatimonadota	number	Phylum	16S rRNA (V4) assay		0.000322	0.000829	0.0005755	0.0005755	0.000829	0.000322	2	["0.000322","0.000829"]		
EUPATH_0009252_Bacteria_Bacteroidota	Bacteroidota	number	Phylum	16S rRNA (V4) assay		9.1e-05	0.990365	0.2567647120954	0.265474	0.439996	0.006555	1148			
EUPATH_0009252_Bacteria_Bdellovibrionota	Bdellovibrionota	number	Phylum	16S rRNA (V4) assay		0.000141	0.002004	0.000655	0.0003355	0.001019	0.000193	8	["0.000141","0.000185","0.000201","0.000280","0.000391","0.000525","0.001513","0.002004"]		
