iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0010981	Demographics		Participant	Participant											
EUPATH_0009093	Chronic maintenance therapy		Treatment	Participant											
OGMS_0000090	Treatment		Participant	Participant	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder									["Ciara_V4.txt::Treatment"]	
EUPATH_0000306	Participant genotype		Participant	Participant											
ENVO_00000009	Country	string	Geographic location	Participant								1	["United States of America"]	["EcoCF.txt::country"]	ENVO_00000004
PATO_0000047	Sex	string	Demographics	Participant	physical sex of the host							2	["Female","Male"]	["EcoCF.txt::Sex"]	
CHEBI_161680	Aztreonam	string	Chronic maintenance therapy	Participant								2	["No","Yes"]	["EcoCF.txt::Aztreonam"]	
EUPATH_0009032	CFTR mutation (allele 2)	string	Participant genotype	Participant								45	["1161delC","1585-8G>A","1716+63ins11","1717-1G->A","1898+1G->A","3120+1G->A","3849+10kbC->T","3849+10kbC>T","4016insT","5T","5T Variant","7T9T variant","A455E","A559T","c.[220C>T; 3808G>A]","D1152H","F1099L","F508del","G1244E","G542X","G551D","G85E","H609R","I1234V","I502T","I507del","L127dup","L206W","M470V","N1303K","Other","p.Gln98Arg","p.Q1042x","Q359K/T360K","Q493X","R117C","R117H","R347H","R553X","R560T","R74W","S1235R","unknown","V520F","W1282X"]	["EcoCF.txt::Mutation 2"]	
EUPATH_0009092	CFTR mutation (allele 1)	string	Participant genotype	Participant								27	["1540A>G","1717-1G->A","2184IrsA+","3120+1G->A","3849+10kbC->T","4374+1G->T","621+1G->T","c.262_263delTT","F508del","G542X","G85E","I507del","M1V","Other","p.5466x","p.Gln98Arg","p.R553x","R1158X","R31C","R334W","R560T","R709X","S912L","unknown","W1063X","W1282x","W1282X"]	["EcoCF.txt::Mutation 1"]	
EUPATH_0010981	Demographics		Participant	prm											
EUPATH_0000310	Observation details		Participant	prm											
EUPATH_0009093	Chronic maintenance therapy		Treatment	prm											
OGMS_0000090	Treatment		Participant	prm	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder									["Ciara_V4.txt::Treatment"]	
EUPATH_0000306	Participant genotype		Participant	prm											
OGMS_0000015	Clinical history		Participant	prm											
OBI_0001169	Age	integer	Demographics	prm	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	18	8760	4005.77912621359	4205	5812	2228	777		["EcoCF.txt::Age (years)"]	EUPATH_0000579
NCIT_C83101	Visit number	string	Observation details	prm								20	["1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","18","19","20","21"]	["EcoCF.txt::Visit Number"]	
CHEBI_28864	Tobramycin	string	Chronic maintenance therapy	prm								2	["No","Yes"]	["EcoCF.txt::Tobramycin"]	
CHEBI_2955	Azithromycin	string	Chronic maintenance therapy	prm								2	["No","Yes"]	["EcoCF.txt::Azithromycin"]	
CHEBI_37943	Colistin	string	Chronic maintenance therapy	prm								2	["No","Yes"]	["EcoCF.txt::Colistin"]	
DRON_00018567	Dornase	string	Chronic maintenance therapy	prm								2	["No","Yes"]	["EcoCF.txt::Dornase"]	
