iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
OBI_0000470	Mass spectrometry assay		Data analysis	Mass spectrometry assay											
OBI_0000470_C56_2_TAG_NH4_C8_pos	C56:2 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		62495	3906395	461178.24	344334	577205	203123	150			
OBI_0000470_taurocholate_C18_neg	taurocholate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		983	1695880	96948.6533333333	44045	101893	22469	150			
OBI_0000470_10_heptadecenoate_C18_neg	10-heptadecenoate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		35618	919956	317955.146666667	273558.5	412881	190042	150			
OBI_0000470_C50_4_TAG_C8_pos	C50:4 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		2411150	24161446	11227623.2466667	9978144.5	15492906	7128311	150			
OBI_0000470_glutamate_HIL_pos	glutamate:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		3022	25369	9781.03333333333	8690.5	12309	5767	150			
OBI_0000470_C18_carnitine_HIL_pos	C18 carnitine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		306	9338	4080.56	3932.5	5495	2388	148			
OBI_0000470_C52_7_TAG_NH4_C8_pos	C52:7 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		3805	1812225	328574.186666667	205359	420260	113454	150			
OBI_0000470_C55_2_TAG_NH4_C8_pos	C55:2 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		839	814586	140238.193333333	70781	229525	17704	150			
OBI_0000470_C14_2_carnitine_HIL_pos	C14:2 carnitine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		4516	227979	60168.9466666667	49102.5	82643	30859	149			
OBI_0000470_C54_9_TAG_C8_pos	C54:9 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		192768	5185287	1332833.47826087	1175492	1679655	669831	138			
OBI_0000470_C22_5_CE_NH4_C8_pos	C22:5 CE +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		81500	687861	279856.18	256802	327089	209348	150			
OBI_0000470_C36_2_DAG_NH4_C8_pos	C36:2 DAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		287275	2857923	1115369.92	1044240	1388154	690605	150			
OBI_0000470_C36_3_DAG_C8_pos	C36:3 DAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		672280	8126408	3090204.88	2916549	3910395	2009931	150			
OBI_0000470_C18_3_CE_C8_pos	C18:3 CE:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		4269166	17128382	9207837.38	8581757	10963124	7318935	150			
OBI_0000470_C49_0_TAG_C8_pos	C49:0 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		928	340847	75638.6315789474	22951.5	116939	3355	113			
OBI_0000470_1_methylguanine_HIL_pos	1-methylguanine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		10048	31137	15832.46	15223	17531	13182	149			
OBI_0000470_C22_1_MAG_NH4_C8_pos	C22:1 MAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		2845411	3566202	3105334.14666667	3098976	3178345	3012246	150			
OBI_0000470_C18_0_CE_C8_pos	C18:0 CE:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		868835	4859593	2056077.82666667	1963296	2452210	1490029	150			
OBI_0000470_6_8_dihydroxypurine_HIL_pos	6,8-dihydroxypurine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		819	4628	2171.28	2092	2511	1767	139			
OBI_0000470_C34_0_DAG_NH4_C8_pos	C34:0 DAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1987	137153	25326.3266666667	17640	32149	8997	150			
OBI_0000470_citrate_isocitrate_HIL_neg	citrate/isocitrate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1012802253	1895826433	1401654419.6	1419419734	1501429803	1273092931	150			
OBI_0000470_indolelactate_HIL_neg	indolelactate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		604317	6069383	2142098.29333333	1933616	2461627	1478843	150			
OBI_0000470_caprate_QI_Measurement_C18_neg	caprate (QI Measurement):C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		12016	759748	57048.7	22118.5	39395	17826	148			
OBI_0000470_erythronate_HIL_neg	erythronate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		190796	81843152	27280776.0866667	25210792	34914914	16849888	150			
OBI_0000470_C52_1_TAG_C8_pos	C52:1 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1145425	36447488	11795791.7866667	10645085	16860304	5200263	150			
OBI_0000470_C36_0_DAG_C8_pos	C36:0 DAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		147408	286930	191053.673333333	189372	200027	176704	150			
OBI_0000470_niacinamide_HIL_pos	niacinamide:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		10492	57645	23290.8	21410.5	27169	16401	150			
OBI_0000470_C34_3_DAG_C8_pos	C34:3 DAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1435	367979	112480.12	90052	157497	37508	149			
OBI_0000470_2_aminoadipate_HIL_neg	2-aminoadipate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		82090	1116313	468885.07518797	433937	642863	280461	133			
OBI_0000470_C18_3_LPC_HIL_pos	C18:3 LPC:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		711666	1898899	1184404.96666667	1170263	1328800	1018720	150			
OBI_0000470_homovanillate_HIL_neg	homovanillate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1000160	5442637	2444169.72	2355640.5	2837915	1845623	150			
OBI_0000470_betaine_HIL_pos	betaine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		3206023	13054140	7189453.77333333	7098099.5	9022128	5101304	150			
OBI_0000470_hypoxanthine_HIL_pos	hypoxanthine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		39338	886149	393525.233333333	367718	493092	288890	150			
OBI_0000470_C22_0_Ceramide_d18_1_C8_pos	C22:0 Ceramide (d18:1):C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		64358	494761	185742.066666667	173836	232034	123161	150			
OBI_0000470_C18_0_MAG_NH4_C8_pos	C18:0 MAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		40220	57793	50381.5066666667	50316.5	52428	48344	148			
OBI_0000470_taurochenodeoxycholate_C18_neg	taurochenodeoxycholate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		54689	2198630	373595.6	249638	452378	166792	150			
OBI_0000470_sphingosine_C_HIL_pos	sphingosine_C:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		2855	183958	6730.28	4528.5	5268	4087	143			
OBI_0000470_C55_3_TAG_C8_pos	C55:3 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		163208	1119343	471480.806666667	472476	566297	329914	150			
OBI_0000470_C52_0_TAG_NH4_C8_pos	C52:0 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		527	4973947	590283.54	240723.5	804593	51536	150			
OBI_0000470_C16_1_LPC_HIL_pos	C16:1 LPC:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		190767	965084	466789.213333333	435275	539592	344761	150			
OBI_0000470_hydroxyproline_HIL_pos	hydroxyproline:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		12664	131072	30259.42	25083	31939	21021	149			
OBI_0000470_myristate_C18_neg	myristate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		542231	2856278	1306861.64666667	1198005	1552635	952688	150			
OBI_0000470_C16_0_CE_NH4_C8_pos	C16:0 CE +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1916674	4811435	2793325.78666667	2693037	3071822	2413280	150			
OBI_0000470_C50_4_TAG_NH4_C8_pos	C50:4 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1001552	46033574	10722802.42	6505950	15003172	3960099	150			
OBI_0000470_C32_0_PC_C8_pos	C32:0 PC:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		8869713	24103349	14665052.2	14008614.5	16750927	12443587	150			
OBI_0000470_sebacate_C18_neg	sebacate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		5631	3350222	81796.2533333333	11903	15718	9877	150			
OBI_0000470_N1_methyl_2_pyridone_5_carboxamide_HIL_pos	N1-methyl-2-pyridone-5-carboxamide:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		25684	672262	121685.453333333	114728	151467	81327	150			
OBI_0000470_C20_0_SM_C8_pos	C20:0 SM:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		4938505	22377162	11028821.6733333	10320414.5	13419602	8461086	150			
OBI_0000470_C51_2_TAG_NH4_C8_pos	C51:2 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		494935	17301306	5160764.85333333	4079412.5	7294435	1565105	150			
OBI_0000470_chenodeoxycholate_C18_neg	chenodeoxycholate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		802	957014	66968.8666666667	19617	73369	3939	149			
OBI_0000470_glycochenodeoxycholate_C18_neg	glycochenodeoxycholate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		20131	9861645	1540382.67333333	920749.5	1958926	474145	150			
OBI_0000470_sphingosine_A_HIL_pos	sphingosine_A:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1000	8693	2679.44	2534.5	2985	2177	145			
OBI_0000470_C20_5_CE_NH4_C8_pos	C20:5 CE +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1886174	26464855	8461895.28666667	7176141	11322634	4392655	150			
OBI_0000470_alpha_muricholate_C18_neg	alpha-muricholate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		7655	598178	136184.320987654	102366	171401	37301	81			
OBI_0000470_adrenate_C18_neg	adrenate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		109187	1098798	424065.186666667	384418	546669	265164	150			
OBI_0000470_C52_4_TAG_NH4_C8_pos	C52:4 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		32885759	264334191	103015085.8	95846562.5	125955845	69931582	150			
OBI_0000470_C30_0_DAG_C8_pos	C30:0 DAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		733	85919	20717.9215686275	16408	24346	6226.5	51			
OBI_0000470_pipecolic_acid_HIL_pos	pipecolic acid:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		7905	591703	41294.16	21122	29646	17545	149			
OBI_0000470_trigonelline_HIL_pos	trigonelline:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		7243	199556218	19378156.3533333	4225668	21414713	265792	150			
OBI_0000470_C34_1_PC_C8_pos	C34:1 PC:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		124112119	357209211	214063773.026667	208118049	243216288	173689567	150			
OBI_0000470_C20_3_CE_NH4_C8_pos	C20:3 CE +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		2157316	9425564	4883098.44	4818247	5810368	3748419	150			
OBI_0000470_C52_3_TAG_C8_pos	C52:3 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		24899317	73275421	45945188.2333333	46530365.5	54263336	36093495	150			
OBI_0000470_malonate_HIL_neg	malonate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		4188821	6998271	5251060.06	5222395	5593299	4820181	150			
OBI_0000470_4_acetamidobutanoate_HIL_pos	4-acetamidobutanoate:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		5228	27405	11370.12	10656.5	13447	8674	147			
OBI_0000470_C48_3_TAG_C8_pos	C48:3 TAG:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		710569	29486131	7503346.5	5455881.5	11523392	3026194	150			
OBI_0000470_C48_1_TAG_NH4_C8_pos	C48:1 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		670393	60976464	13005169.8266667	7595927	19687563	2848815	150			
OBI_0000470_hippurate_HIL_neg	hippurate:HIL-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		790171	416661967	30161188.2733333	10439484	29109450	5828631	150			
OBI_0000470_eicosatrienoate_C18_neg	eicosatrienoate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		118803	1366009	506517.493333333	465715	612181	328876	150			
OBI_0000470_C4_carnitine_HIL_pos	C4 carnitine:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		78436	1627931	235048.053333333	185394.5	258776	149377	150			
OBI_0000470_C58_6_TAG_NH4_C8_pos	C58:6 TAG +NH4:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		252356	2450417	896873.473333333	788549	1089816	594084	150			
OBI_0000470_oleate_C18_neg	oleate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		9277139	50387467	26418741.1533333	26675079	30827435	20745778	150			
OBI_0000470_C16_1_CE_C8_pos	C16:1 CE:C8-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		1159503	4781325	2685724.29333333	2489678	3345384	1997905	150			
OBI_0000470_eicosapentaenoate_C18_neg	eicosapentaenoate:C18-neg: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		28244	594571	165159.206666667	152562.5	204792	102367	150			
OBI_0000470_NMMA_HIL_pos	NMMA:HIL-pos: Metabolite	number	Mass spectrometry assay	Mass spectrometry assay		38599	137426	64500.5533333333	61242.5	71703	55379	150			
