iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V1-V2) assay											
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V1-V2) assay											
EUPATH_0009251_Bacteria	Bacteria	number	Kingdom	16S rRNA (V1-V2) assay		1	1	1	1			1	["1.000000"]		
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V1-V2) assay											
EUPATH_0009252_Bacteria_Acidobacteriota	Acidobacteriota	number	Phylum	16S rRNA (V1-V2) assay		7e-04	0.001252	0.0009885	0.001001	0.001226	0.000751	4	["0.000700","0.000802","0.001200","0.001252"]		
EUPATH_0009252_Bacteria_Actinobacteriota	Actinobacteriota	number	Phylum	16S rRNA (V1-V2) assay		0.000221	0.91364	0.04649400507614	0.0082205	0.0315725	0.002626	778			
EUPATH_0009252_Bacteria_Bacteroidota	Bacteroidota	number	Phylum	16S rRNA (V1-V2) assay		0.000249	0.974359	0.34118223068433	0.231727	0.635669	0.022212	904			
EUPATH_0009252_Bacteria_Bdellovibrionota	Bdellovibrionota	number	Phylum	16S rRNA (V1-V2) assay		0.000339	0.00106	0.000749	0.000848	0.000954	0.0005935	3	["0.000339","0.000848","0.001060"]		
EUPATH_0009252_Bacteria_Campilobacterota	Campilobacterota	number	Phylum	16S rRNA (V1-V2) assay		0.000243	0.634562	0.03660624848485	0.0044115	0.025189	0.001213	324			
EUPATH_0009252_Bacteria_Chloroflexi	Chloroflexi	number	Phylum	16S rRNA (V1-V2) assay		0.000722	0.003261	0.00161433333333	0.00086	0.0020605	0.000791	3	["0.000722","0.000860","0.003261"]		
EUPATH_0009252_Bacteria_Cyanobacteria	Cyanobacteria	number	Phylum	16S rRNA (V1-V2) assay		0.000178	0.110493	0.00774148623853	0.0023075	0.007322	0.001069	215			
EUPATH_0009252_Bacteria_Deinococcota	Deinococcota	number	Phylum	16S rRNA (V1-V2) assay		0.000214	0.001629	0.00086371428571	0.000868	0.001147	0.0005205	7	["0.000214","0.000396","0.000645","0.000868","0.001101","0.001193","0.001629"]		
EUPATH_0009252_Bacteria_Desulfobacterota	Desulfobacterota	number	Phylum	16S rRNA (V1-V2) assay		0.00024	0.015218	0.0019351875	0.0011515	0.0023895	0.0005645	64			
EUPATH_0009252_Bacteria_Elusimicrobiota	Elusimicrobiota	number	Phylum	16S rRNA (V1-V2) assay		0.000569	0.007434	0.0019227	0.000956	0.00225	0.00084	10	["0.000569","0.000640","0.000840","0.000927","0.000933","0.000979","0.001789","0.002250","0.002866","0.007434"]		
EUPATH_0009252_Bacteria_Firmicutes	Firmicutes	number	Phylum	16S rRNA (V1-V2) assay		0.001635	1	0.45275314975370	0.417344	0.7168435	0.2022535	1013			
EUPATH_0009252_Bacteria_Fusobacteriota	Fusobacteriota	number	Phylum	16S rRNA (V1-V2) assay		0.000262	0.714585	0.03825441489362	0.0032165	0.016218	0.001103	277			
EUPATH_0009252_Bacteria_Nitrospirota	Nitrospirota	number	Phylum	16S rRNA (V1-V2) assay		0.000645	0.000645	0.000645	0.000645			1	["0.000645"]		
EUPATH_0009252_Bacteria_Patescibacteria	Patescibacteria	number	Phylum	16S rRNA (V1-V2) assay		0.00024	0.023438	0.00265043103448	0.0009915	0.003242	0.000685	58			
EUPATH_0009252_Bacteria_Proteobacteria	Proteobacteria	number	Phylum	16S rRNA (V1-V2) assay		0.000499	0.997712	0.18837149743063	0.04998	0.254219	0.014527	971			
EUPATH_0009252_Bacteria_Spirochaetota	Spirochaetota	number	Phylum	16S rRNA (V1-V2) assay		0.000268	0.464311	0.02233204761905	0.003517	0.0201585	0.0011335	63			
EUPATH_0009252_Bacteria_Synergistota	Synergistota	number	Phylum	16S rRNA (V1-V2) assay		0.00038	0.001679	0.00078316666667	0.0005835	0.000993	0.00048	6	["0.000380","0.000480","0.000494","0.000673","0.000993","0.001679"]		
EUPATH_0009252_Bacteria_Verrucomicrobiota	Verrucomicrobiota	number	Phylum	16S rRNA (V1-V2) assay		0.000269	0.018581	0.00274743137255	0.001727	0.002726	0.000703	51			
EUPATH_0009253	Class		Relative taxonomic abundance analysis	16S rRNA (V1-V2) assay											
EUPATH_0009253_Bacteria_Acidobacteriota_Acidobacteriae	Acidobacteriae	number	Class	16S rRNA (V1-V2) assay		0.001252	0.001252	0.001252	0.001252			1	["0.001252"]		
EUPATH_0009253_Bacteria_Acidobacteriota_Blastocatellia	Blastocatellia	number	Class	16S rRNA (V1-V2) assay		0.0012	0.0012	0.0012	0.0012			1	["0.001200"]		
EUPATH_0009253_Bacteria_Acidobacteriota_Vicinamibacteria	Vicinamibacteria	number	Class	16S rRNA (V1-V2) assay		7e-04	0.000802	0.000751	0.000751	0.000802	7e-04	2	["0.000700","0.000802"]		
EUPATH_0009253_Bacteria_Actinobacteriota_	unclassified Actinobacteriota	number	Class	16S rRNA (V1-V2) assay		0.001228	0.001228	0.001228	0.001228			1	["0.001228"]		
EUPATH_0009253_Bacteria_Actinobacteriota_Actinobacteria	Actinobacteria	number	Class	16S rRNA (V1-V2) assay		0.000214	0.60937	0.01823600414079	0.003956	0.012033	0.001354	467			
EUPATH_0009253_Bacteria_Actinobacteriota_Coriobacteriia	Coriobacteriia	number	Class	16S rRNA (V1-V2) assay		0.000221	0.905703	0.04445024440895	0.0060615	0.023054	0.002094	610			
EUPATH_0009253_Bacteria_Actinobacteriota_Thermoleophilia	Thermoleophilia	number	Class	16S rRNA (V1-V2) assay		0.000521	0.001686	0.0011035	0.0011035	0.001686	0.000521	2	["0.000521","0.001686"]		
EUPATH_0009253_Bacteria_Bacteroidota_	unclassified Bacteroidota	number	Class	16S rRNA (V1-V2) assay		0.001699	0.001699	0.001699	0.001699			1	["0.001699"]		
EUPATH_0009253_Bacteria_Bacteroidota_Bacteroidia	Bacteroidia	number	Class	16S rRNA (V1-V2) assay		0.000249	0.974359	0.34118035540839	0.231727	0.635669	0.022212	904			
EUPATH_0009253_Bacteria_Bdellovibrionota_Oligoflexia	Oligoflexia	number	Class	16S rRNA (V1-V2) assay		0.000339	0.00106	0.000749	0.000848	0.000954	0.0005935	3	["0.000339","0.000848","0.001060"]		
EUPATH_0009253_Bacteria_Campilobacterota_Campylobacteria	Campylobacteria	number	Class	16S rRNA (V1-V2) assay		0.000243	0.634562	0.03660624848485	0.0044115	0.025189	0.001213	324			
EUPATH_0009253_Bacteria_Chloroflexi_Anaerolineae	Anaerolineae	number	Class	16S rRNA (V1-V2) assay		0.003261	0.003261	0.003261	0.003261			1	["0.003261"]		
EUPATH_0009253_Bacteria_Chloroflexi_Chloroflexia	Chloroflexia	number	Class	16S rRNA (V1-V2) assay		0.000722	0.00086	0.000791	0.000791	0.00086	0.000722	2	["0.000722","0.000860"]		
EUPATH_0009253_Bacteria_Cyanobacteria_	unclassified Cyanobacteria	number	Class	16S rRNA (V1-V2) assay		0.000457	0.000457	0.000457	0.000457			1	["0.000457"]		
EUPATH_0009253_Bacteria_Cyanobacteria_Cyanobacteriia	Cyanobacteriia	number	Class	16S rRNA (V1-V2) assay		0.000178	0.110493	0.00924088888889	0.001816	0.007624	0.000947	117			
EUPATH_0009253_Bacteria_Cyanobacteria_Vampirivibrionia	Vampirivibrionia	number	Class	16S rRNA (V1-V2) assay		0.000309	0.106836	0.00531581578947	0.002392	0.005498	0.001195	112			
EUPATH_0009253_Bacteria_Deinococcota_Deinococci	Deinococci	number	Class	16S rRNA (V1-V2) assay		0.000214	0.001629	0.00086371428571	0.000868	0.001147	0.0005205	7	["0.000214","0.000396","0.000645","0.000868","0.001101","0.001193","0.001629"]		
EUPATH_0009253_Bacteria_Desulfobacterota_Desulfovibrionia	Desulfovibrionia	number	Class	16S rRNA (V1-V2) assay		0.00024	0.015218	0.0019351875	0.0011515	0.0023895	0.0005645	64			
EUPATH_0009253_Bacteria_Elusimicrobiota_Elusimicrobia	Elusimicrobia	number	Class	16S rRNA (V1-V2) assay		0.000569	0.007434	0.0019227	0.000956	0.00225	0.00084	10	["0.000569","0.000640","0.000840","0.000927","0.000933","0.000979","0.001789","0.002250","0.002866","0.007434"]		
EUPATH_0009253_Bacteria_Firmicutes_	unclassified Firmicutes	number	Class	16S rRNA (V1-V2) assay		0.000221	0.005211	0.00147722222222	0.000686	0.002233	0.000425	9	["0.000221","0.000271","0.000425","0.000480","0.000686","0.000978","0.002233","0.002790","0.005211"]		
EUPATH_0009253_Bacteria_Firmicutes_Bacilli	Bacilli	number	Class	16S rRNA (V1-V2) assay		0.00055	0.996557	0.20743037851406	0.0734845	0.288826	0.017901	992			
EUPATH_0009253_Bacteria_Firmicutes_Clostridia	Clostridia	number	Class	16S rRNA (V1-V2) assay		0.000373	0.865075	0.14986851708428	0.0725445	0.221579	0.015657	876			
EUPATH_0009253_Bacteria_Firmicutes_Negativicutes	Negativicutes	number	Class	16S rRNA (V1-V2) assay		0.000331	0.924962	0.12854443538136	0.052062	0.1627985	0.018949	943			
EUPATH_0009253_Bacteria_Fusobacteriota_Fusobacteriia	Fusobacteriia	number	Class	16S rRNA (V1-V2) assay		0.000262	0.714585	0.03825441489362	0.0032165	0.016218	0.001103	277			
EUPATH_0009253_Bacteria_Nitrospirota_Nitrospiria	Nitrospiria	number	Class	16S rRNA (V1-V2) assay		0.000645	0.000645	0.000645	0.000645			1	["0.000645"]		
EUPATH_0009253_Bacteria_Patescibacteria_Gracilibacteria	Gracilibacteria	number	Class	16S rRNA (V1-V2) assay		0.000421	0.000421	0.000421	0.000421			1	["0.000421"]		
