iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0043212	Geolocation		Geographic location	Participant											
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0000587	Environment information		Community	Participant	An information content entity about environmental material, environmental feature, environmental system, etc.										
ENVO_00000009	Country	string	Geographic location	Participant								1	["USA"]	["EcoCF.txt::country","FARMM_metagenomics.txt::country","AnophelesAlbimanus.txt::country","Ciara_V1V3.txt::country","UgandaMaternal.txt::country","EMP_2192_Gilbert_House.txt::country","EMP_10249_ECAM.txt::geo_loc_name","EMP_1064_Bee_Microbiome.txt::country","PIH_Uganda.txt::country","HMPWgs.txt::country","MALED_healthy.txt::country","NICUNEC.txt::country","EMP_1928_HMP_V35.txt::geo_loc_name","GEMS.txt::country","ENTiCE.txt::country","CAMP.txt::country","EMP_797_Song_Family.txt::country","Resistome.txt::country","StLouisNICU.txt::country","Malaysia_Helminth.txt::country","EMP_1927_HMP_V13.txt::geo_loc_name","DiabImmune.txt::country","MALED_diarrhea.txt::country","Bangladesh_healthy_5yr.txt::country","DailyBaby.txt::country","MORDOR_metatranscriptome.txt::country"]	ENVO_00000004
ENVO_00000176	Elevation	integer	Geographic location	Participant	the elevation of the sampling site as measured by the vertical distance from mean sea level	97	97	97	97			1	["97"]	["EMP_2192_Gilbert_House.txt::elevation","EMP_1928_HMP_V35.txt::elevation","EMP_1927_HMP_V13.txt::elevation","EMP_797_Song_Family.txt::elevation","EMP_10249_ECAM.txt::elevation","EMP_1064_Bee_Microbiome.txt::elevation"]	
ENVO_00000428	Environment (biome)	string	Environment information	Participant	Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous wood							1	["Urban biome"]	["EMP_1927_HMP_V13.txt::env_biome","EMP_797_Song_Family.txt::env_biome","EMP_2192_Gilbert_House.txt::env_biome","EMP_10249_ECAM.txt::env_biome","EMP_1064_Bee_Microbiome.txt::env_biome","EMP_1928_HMP_V35.txt::env_biome"]	
ENVO_01000739	Habitat	string	Environment information	Participant	An environmental system which can sustain and allow the growth of an ecological population.							1	["Host-associated habitat"]	["EMP_1064_Bee_Microbiome.txt::env_feature","StLouisNICU.txt::env_feature","DailyBaby.txt::env_feature","EMP_1928_HMP_V35.txt::env_feature","EcoCF.txt::env_feature","BONUS.txt::env_feature","Resistome.txt::env_feature","EMP_2192_Gilbert_House.txt::env_feature","CAMP.txt::env_feature","EMP_797_Song_Family.txt::env_feature","NICUNEC.txt::env_feature","NICUDischarge.txt::env_feature","Bangladesh_healthy_5yr.txt::env_feature","Ciara_V1V3.txt::env_feature","MALED_healthy.txt::env_feature","PIH_Uganda.txt::env_feature","MALED_diarrhea.txt::env_feature","GEMS.txt::env_feature","MORDOR_metatranscriptome.txt::body_habitat","UgandaMaternal.txt::env_feature","Ciara_V4.txt::env_feature","EMP_1927_HMP_V13.txt::env_feature","DiabImmune.txt::env_feature","EMP_10249_ECAM.txt::env_feature","HMPWgs.txt::env_feature","AnophelesAlbimanus.txt::env_feature","FARMM_metagenomics.txt::env_feature","ENTiCE.txt::env_feature"]	ENVO_00002297
OBI_0001622	Title	string	Investigation type	Participant								1	["Structure, function and diversity of the healthy human microbiome (V35)"]	["EMP_2192_Gilbert_House.txt::title","CAMP.txt::title","EMP_10249_ECAM.txt::title","Ciara_V1V3.txt::title","EMP_1928_HMP_V35.txt::title","ENTiCE.txt::title","EMP_1927_HMP_V13.txt::title","EMP_797_Song_Family.txt::title","Ciara_V4.txt::title"]	
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0003069	Sequencing		Sequencing assay	Sample	A protocol that, when concretized, is realized in an assay that uses chemical or biological means to infer the sequence of a biomaterial.										EUPATH_0000603
OBI_0001891	Sequencing center	string	Sequencing	Sample	At which center were samples sequenced							4	["BCM","BI","JCVI","WUGSC"]	["EMP_1928_HMP_V35.txt::sequencecenter","EMP_1927_HMP_V13.txt::sequencecenter"]	
OBI_0100051	Sample type	string	Sample details	Sample	A material entity that has the specimen role.							4	["Mucus","Oral swab","Sebum","Stool"]	["EMP_2192_Gilbert_House.txt::sample_type","EMP_1928_HMP_V35.txt::sample_type","EMP_1064_Bee_Microbiome.txt::sample_type","Ciara_V1V3.txt::sample_type","DailyBaby.txt::sample_type","PIH_Uganda.txt::sample_type","EMP_1927_HMP_V13.txt::sample_type","Resistome.txt::sample_type","NICUDischarge.txt::sample_type","DiabImmune.txt::sample_type","Malaysia_Helminth.txt::sample_type","StLouisNICU.txt::sample_type","MORDOR_metatranscriptome.txt::sample_type","Bangladesh_healthy_5yr.txt::sample_type","FARMM_metagenomics.txt::sample_type","EMP_10249_ECAM.txt::sample_type","EcoCF.txt::sample_type","MALED_healthy.txt::sample_type","UgandaMaternal.txt::Sample type","HMPWgs.txt::sample_type","ENTiCE.txt::sample_type","Ciara_V4.txt::sample_type","BONUS.txt::sample_type","EMP_797_Song_Family.txt::sample_type","GEMS.txt::sample_type","MALED_diarrhea.txt::sample_type","AnophelesAlbimanus.txt::sample_type","NICUNEC.txt::sample_type","CAMP.txt::sample_type"]	
SO_0001000	Region of 16S rRNA sequenced	string	Sequencing	Sample	Cytosolic 16S rRNA is an RNA component of the small subunit of cytosolic ribosomes in prokaryotes.							2	["V3-V5","V5-V3"]	["Ciara_V1V3.txt::region","MALED_diarrhea.txt::region","ENTiCE.txt::region","EMP_2192_Gilbert_House.txt::region","EcoCF.txt::region","PIH_Uganda.txt::region","Ciara_V4.txt::region","Bangladesh_healthy_5yr.txt::region","CAMP.txt::region","EMP_797_Song_Family.txt::region","GEMS.txt::region","EMP_1928_HMP_V35.txt::region","MALED_healthy.txt::region","EMP_10249_ECAM.txt::region","StLouisNICU.txt::region","DailyBaby.txt::region","AnophelesAlbimanus.txt::region","EMP_1927_HMP_V13.txt::region"]	
