Sample_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]	Sequencing center [OBI_0001891]
1928.SRS011157.SRX020666.SRR044955	700014956 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011157.SRX020669.SRR045333	700014956 (Source)	Colon	Feces	Colon	V3-V5	Stool	WUGSC
1928.SRS011159.SRX020660.SRR044847	700014968 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011159.SRX020668.SRR045072	700014968 (Source)	Oral cavity	Saliva	Oral cavity	V3-V5	Oral swab	WUGSC
1928.SRS011161.SRX020666.SRR047481	700014973 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011161.SRX020669.SRR045328	700014973 (Source)	Oral cavity	Saliva	Tongue	V3-V5	Oral swab	WUGSC
1928.SRS011163.SRX020515.SRR045361	700014976 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011163.SRX020537.SRR045380	700014976 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011163.SRX020570.SRR045452	700014976 (Source)	Oral cavity	Saliva	Palate	V3-V5	Oral swab	WUGSC
1928.SRS011165.SRX020666.SRR044923	700014979 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011165.SRX020669.SRR045303	700014979 (Source)	Oral cavity	Saliva	Buccal mucosa	V3-V5	Oral swab	WUGSC
1928.SRS011167.SRX020666.SRR044975	700014982 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011167.SRX020669.SRR045346	700014982 (Source)	Oral cavity	Saliva	Gingiva	V3-V5	Oral swab	WUGSC
1928.SRS011169.SRX020660.SRR044843	700014985 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011169.SRX020668.SRR045068	700014985 (Source)	Oral cavity	Saliva	Palatine tonsil	V3-V5	Oral swab	WUGSC
1928.SRS011171.SRX020515.SRR045363	700014988 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011171.SRX020537.SRR045382	700014988 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011171.SRX020570.SRR047528	700014988 (Source)	Oral cavity	Saliva	Throat	V3-V5	Oral swab	WUGSC
1928.SRS011173.SRX020666.SRR044963	700014991 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
1928.SRS011173.SRX020669.SRR049317	700014991 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V3-V5	Oral swab	WUGSC
