iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009251	Kingdom		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.										
EUPATH_0009252	Phylum		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.										
EUPATH_0009253	Class		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.										
EUPATH_0009254	Order		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of order.										
EUPATH_0009255	Family		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of family.										
EUPATH_0009256	Genus		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of genus.										
EUPATH_0009257	Species		Relative taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of species.										
EUPATH_0009250	Relative taxonomic abundance analysis		Data analysis	16S rRNA (V4) assay	A data transformation of input sequence data to obtain the fraction of relative abundance of organisms.										
EUPATH_0009351	Kingdom		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of kingdom.										
EUPATH_0009352	Phylum		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of phylum.										
EUPATH_0009353	Class		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of class.										
EUPATH_0009354	Order		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of order.										
EUPATH_0009355	Family		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of family.										
EUPATH_0009356	Genus		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of genus.										
EUPATH_0009357	Species		Absolute taxonomic abundance analysis	16S rRNA (V4) assay	A data item that is the output of an absolute taxonomic abundance analysis for organisms grouped at the level of species.										
EUPATH_0009251_Archaea	Archaea	number	Kingdom	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.	8.2e-05	0.036011	0.00427610526316	0.001517	0.003959	0.0004175	19			
EUPATH_0009251_Bacteria	Bacteria	number	Kingdom	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.	0.963989	1	0.99991245043103	1	1	1	20			
EUPATH_0009252_Bacteria_Bacteroidota	Bacteroidota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	3.7e-05	0.767262	0.11652548031496	0.049094	0.18789	0.008602	758			
EUPATH_0009252_Bacteria_Planctomycetota	Planctomycetota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.000247	0.000247	0.000247	0.000247			1	["0.000247"]		
EUPATH_0009252_Bacteria_Verrucomicrobiota	Verrucomicrobiota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	7.7e-05	0.327878	0.00949335741445	0.003014	0.0097255	0.0006355	260			
EUPATH_0009252_Bacteria_Cyanobacteria	Cyanobacteria	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	6.4e-05	0.003426	0.00072082692308	0.0004895	0.0009015	0.000222	51			
EUPATH_0009252_Bacteria_Elusimicrobiota	Elusimicrobiota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	8.9e-05	0.021062	0.00297688235294	0.001312	0.001971	0.000514	17			
EUPATH_0009252_Bacteria_Actinobacteriota	Actinobacteriota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.000165	0.992325	0.4815465625	0.51458	0.7985125	0.1465555	927			
EUPATH_0009252_Bacteria_Campilobacterota	Campilobacterota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	2.5e-05	0.10217	0.00660294782609	0.001297	0.0043415	0.0005815	114			
EUPATH_0009252_Bacteria_Spirochaetota	Spirochaetota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.000514	0.012314	0.006414	0.006414	0.012314	0.000514	2	["0.000514","0.012314"]		
EUPATH_0009252_Bacteria_Deferribacterota	Deferribacterota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.000139	0.000139	0.000139	0.000139			1	["0.000139"]		
EUPATH_0009252_Bacteria_Proteobacteria	Proteobacteria	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.00013	0.951913	0.07571071023965	0.0359825	0.092894	0.01266	913			
EUPATH_0009252_Bacteria_Synergistota	Synergistota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	6.1e-05	0.000575	0.0003232	0.000418	0.000447	0.000115	5	["0.000061","0.000115","0.000418","0.000447","0.000575"]		
EUPATH_0009252_Archaea_Euryarchaeota	Euryarchaeota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	8.2e-05	0.036011	0.00427610526316	0.001517	0.003959	0.0004175	19			
EUPATH_0009252_Bacteria_Firmicutes	Firmicutes	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.001561	0.983705	0.34275567780172	0.2720215	0.5654525	0.0888145	928			
EUPATH_0009252_Bacteria_Fusobacteriota	Fusobacteriota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	7.2e-05	0.158746	0.00593831386861	0.000965	0.003785	0.000346	134			
EUPATH_0009252_Bacteria_Desulfobacterota	Desulfobacterota	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	2.4e-05	0.015013	0.00194737647059	0.001121	0.002326	0.0004445	245			
EUPATH_0009252_Bacteria_Patescibacteria	Patescibacteria	number	Phylum	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.	0.002292	0.002292	0.002292	0.002292			1	["0.002292"]		
EUPATH_0009253_Archaea_Euryarchaeota_Methanobacteria	Methanobacteria	number	Class	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.	8.2e-05	0.036011	0.00427610526316	0.001517	0.003959	0.0004175	19			
EUPATH_0009253_Bacteria_Actinobacteriota_Coriobacteriia	Coriobacteriia	number	Class	16S rRNA (V4) assay	A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.	0.00011	0.227839	0.01933663235294	0.010523	0.02634	0.00303	801			
