iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000310	Observation details		Participant	Participant											
EUPATH_0043212	Geolocation		Geographic location	Participant											
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0010981	Demographics		Participant	Participant											
EUPATH_0011732	Diet		Participant	Participant	overall, what the main source of nutrition for the child?									["EMP_10249_ECAM.txt::diet_3","DailyBaby.txt::child_diet","FARMM_metagenomics.txt::diet"]	
OGMS_0000015	Clinical history		Participant	Participant											
ENVO_00000009	Country	string	Geographic location	Participant								1	["Malaysia"]	["Malaysia_Helminth.txt::country"]	ENVO_00000004
OBI_0001169	Age	integer	Demographics	Participant	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	4	73	29.1450381679389	28	42	11	67		["Malaysia_Helminth.txt::age"]	EUPATH_0000579
PATO_0000047	Sex	string	Demographics	Participant	physical sex of the host							2	["Female","Male"]	["Malaysia_Helminth.txt::sex"]	
ENVO_00000856	City, village, or region	string	Geographic location	Participant	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512)  (http://purl.bioontology.org/ontology/GAZ)							6	["Bangkong, Selangor","Judah, Selangor","Kuala Lumpur, Selangor","Legong, Kedah","Rasau, Perak","Tanjung_Sepat, Selangor"]	["Malaysia_Helminth.txt::location"]	EUPATH_0000452
OMRSE_00002045	Education level	string	Demographics	Participant								4	["No formal education","Primary school","Secondary school","Tertiary education"]	["Malaysia_Helminth.txt::level_of_education"]	
OMRSE_00000205	Ethnicity	string	Demographics	Participant								2	["Indigenous","Non-indigenous"]	["Malaysia_Helminth.txt::Cultural group"]	
EUPATH_0009341	Undercooked meat	string	Diet	Participant	if participant consumes undercooked meat							3	["NA","No","Yes"]	["Malaysia_Helminth.txt::Undercooked_meat"]	
EUPATH_0009342	Boiled water	string	Diet	Participant	if participant boil water before consuming							3	["NA","No","Yes"]	["Malaysia_Helminth.txt::Boiled_water"]	
EUPATH_0009343	Taken antibiotics in past 3 months	string	Clinical history	Participant	whether they have taken antibiotics in the past 3 months before sample collection							4	[":::UNDEFF:::","No","Not Sure","Yes"]	["Malaysia_Helminth.txt::Antibiotics_past_3months"]	
EUPATH_0009344	Taken probiotic food in past 3 months	string	Clinical history	Participant	whether they have taken probiotic food in the past 3 months before sample collection							3	["No","Not Sure","Yes"]	["Malaysia_Helminth.txt::Probiotic_food_past_3months"]	
EUPATH_0009345	Diarrhea in past 3 months	string	Clinical history	Participant	whether they had diarrhea in the past 3 months before sample collection							2	["No","Yes"]	["Malaysia_Helminth.txt::Diarrhea_past_3months"]	
EUPATH_0009349	Response to anthelminthic treatment	string	Participant	Participant	Response to anthelminthic treatment based on T. trichuria burden							3	["Non-responder","Responder","Uninfected"]	["Malaysia_Helminth.txt::Response to anthelminthic"]	
EUPATH_0009246	Metagenome pathway and function analysis		Data analysis	Metagenomic sequencing assay											
EUPATH_0009247	4th level EC metagenome abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay											
EUPATH_0009247_1_10_2_2	1.10.2.2: Quinol--cytochrome-c reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.132209	26.9572	1.97014253333333	0.455099	0.9738845	0.271368	60			
EUPATH_0009247_1_10_3_10	1.10.3.10: Ubiquinol oxidase (H(+)-transporting)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.106246	46.6483	3.44128708311688	1.485729	4.092506	0.649558	385			
EUPATH_0009247_1_10_3_14	1.10.3.14: Ubiquinol oxidase (electrogenic, non H(+)-transporting)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.206493	3.63236	1.39830277777778	1.19622	1.805596	0.820962	9	["0.206493","0.320667","0.820962","0.998990","1.196220","1.586037","1.805596","2.017400","3.632360"]		
EUPATH_0009247_1_10_3_2	1.10.3.2: Laccase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.317642	0.317642	0.317642	0.317642			1	["0.317642"]		
EUPATH_0009247_1_10_3_9	1.10.3.9: Photosystem II	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.251031	0.555392	0.38977525	0.376339	0.467416	0.3121345	4	["0.251031","0.373238","0.379440","0.555392"]		
EUPATH_0009247_1_10_9_1	1.10.9.1: Plastoquinol--plastocyanin reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.144019	14.2236	1.60626017664671	0.8602155	1.885287	0.481505	333			
EUPATH_0009247_1_11_1_1	1.11.1.1: NADH peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		21.499011	352.043943	151.005127109231	151.3850405	178.196525	124.199447	650			
EUPATH_0009247_1_11_1_10	1.11.1.10: Chloride peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.114651	36.79459	3.14874197213115	1.913154	3.342773	1.054556	610			
EUPATH_0009247_1_11_1_15	1.11.1.15: Peroxiredoxin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		23.234764	471.078247	155.036848130769	144.5759955	181.195888	112.740371	650			
EUPATH_0009247_1_11_1_18	1.11.1.18: Bromide peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.151148	10.218	0.88389862222222	0.58115	1.013115	0.372064	179			
EUPATH_0009247_1_11_1_19	1.11.1.19: Dye decolorizing peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.307586	0.307586	0.307586	0.307586			1	["0.307586"]		
