iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0009194	Acyclovir	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_acyclovir"]	
EUPATH_0009195	Amoxicillin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_amoxicillin"]	
EUPATH_0009196	Ampicillin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_ampicillin"]	
EUPATH_0009197	Cefazolin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_cefazolin"]	
EUPATH_0009198	Cefepime	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_cefepime"]	
EUPATH_0009199	Cefotaxime	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_cefotaxime"]	
EUPATH_0009200	Claforan	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_claforan"]	
EUPATH_0009201	Clindamycin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_clindamycin"]	
EUPATH_0009202	Fluconazole	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_fluconazole"]	
EUPATH_0009203	Gentamycin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_gentamycin"]	
EUPATH_0009204	Nafcillin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_nafcillin"]	
EUPATH_0009205	Nystatin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_nystatin"]	
EUPATH_0009206	Ofloxacin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_ofloxacin"]	
EUPATH_0009207	Vancomycin	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_vancomycin"]	
EUPATH_0009208	Zosyn	string	Antibiotics administered prior sample collection	Sample								2	["No","Yes"]	["NICUNEC.txt::sample_zosyn"]	
EUPATH_0057606	Bacteria in any sample		Any sample microbiology test	Sample											EUPATH_0009104
EUPATH_0057604	Any sample microbiology test		Laboratory test	Sample											
ARO_3004306	Methicillin resistant Staphylococcus aureus	string	Bacteria in any sample	Sample	Any strain of Staphylococcus aureus that has tested resistant (R) to at least one of methicillin, oxacillin or cefoxitin by standard susceptibility testing methods.							2	["No","Yes"]	["NICUNEC.txt::Methicillin-resistant Staphylococcus aureus (MRSA) screen"]	
OBI_0000070	Laboratory test		Sample	Sample											OGMS_0000056
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0100051	Sample type	string	Sample details	Sample	A material entity that has the specimen role.							1	["Stool"]	["NICUNEC.txt::sample_type"]	
OBI_0003057	Antibiotic administration		Treatment	Sample	Administering substance in vivo where an antibiotic substance is administered to a living organism.										EUPATH_0011880
EUPATH_0009193	Antibiotics administered prior sample collection		Antibiotic administration	Sample											
EUPATH_0000587	Environment information		Community	Sample	An information content entity about environmental material, environmental feature, environmental system, etc.										
ENVO_01000739	Habitat	string	Environment information	Sample	An environmental system which can sustain and allow the growth of an ecological population.							1	["Human"]	["NICUNEC.txt::env_feature"]	ENVO_00002297
