iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0010981	Demographics		Participant	Participant											
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0000309	Signs and symptoms		Participant	Participant											
ENVO_00000009	Country	string	Geographic location	Participant								1	["Uganda"]	["EcoCF.txt::country","FARMM_metagenomics.txt::country","AnophelesAlbimanus.txt::country","Ciara_V1V3.txt::country","UgandaMaternal.txt::country","EMP_2192_Gilbert_House.txt::country","EMP_10249_ECAM.txt::geo_loc_name","EMP_1064_Bee_Microbiome.txt::country","PIH_Uganda.txt::country","HMPWgs.txt::country","MALED_healthy.txt::country","NICUNEC.txt::country","EMP_1928_HMP_V35.txt::geo_loc_name","GEMS.txt::country","ENTiCE.txt::country","CAMP.txt::country","EMP_797_Song_Family.txt::country","Resistome.txt::country","StLouisNICU.txt::country","Malaysia_Helminth.txt::country","EMP_1927_HMP_V13.txt::geo_loc_name","DiabImmune.txt::country","MALED_diarrhea.txt::country","Bangladesh_healthy_5yr.txt::country","DailyBaby.txt::country","MORDOR_metatranscriptome.txt::country"]	ENVO_00000004
PATO_0000047	Sex	string	Demographics	Participant	physical sex of the host							4	["Female","female","male","Male"]	["Malaysia_Helminth.txt::sex","UgandaMaternal.txt::Sex","EMP_1064_Bee_Microbiome.txt::sex","PIH_Uganda.txt::sex","Ciara_V4.txt::host_sex","HMPWgs.txt::Sex","EMP_797_Song_Family.txt::sex","EMP_2192_Gilbert_House.txt::sex","EMP_10249_ECAM.txt::sex","DailyBaby.txt::sex","NICUNEC.txt::sex","NICUDischarge.txt::gender","StLouisNICU.txt::Sex","BONUS.txt::sex","MORDOR_metatranscriptome.txt::Sex","CAMP.txt::host_sex","ENTiCE.txt::host_sex","EcoCF.txt::Sex","Resistome.txt::Sex","Bangladesh_healthy_5yr.txt::Sex","DiabImmune.txt::gender"]	
OBI_0001169	Age	number	Demographics	Participant	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	0.2	3.4	1.883	2	2.45	1.35	30		["EMP_10249_ECAM.txt::Age (months)","MORDOR_metatranscriptome.txt::Age","EcoCF.txt::Age (years)","Malaysia_Helminth.txt::age","Bangladesh_healthy_5yr.txt::Age (months)","FARMM_metagenomics.txt::host_age","EMP_10249_ECAM.txt::age","Resistome.txt::Age at sample collection (days)","GEMS.txt::Age (months)","HMPWgs.txt::Age (years)","StLouisNICU.txt::Age at sample collection (days)","EMP_10249_ECAM.txt::day_of_life","EMP_1064_Bee_Microbiome.txt::host_age","EcoCF.txt::Age (days)","MALED_diarrhea.txt::age in months","DiabImmune.txt::age_at_collection_months","UgandaMaternal.txt::Age (years)","MALED_healthy.txt::Age (months)","DailyBaby.txt::day_of_life","CAMP.txt::age","PIH_Uganda.txt::age_at_collection_months","NICUDischarge.txt::day_of_life","BONUS.txt::age_at_collection_months","NICUNEC.txt::Age at sample collection (days)","EMP_797_Song_Family.txt::host_age"]	EUPATH_0000579
ENVO_00000856	City, village, or region	string	Geographic location	Participant	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512)  (http://purl.bioontology.org/ontology/GAZ)							4	["Central Uganda","Eastern Uganda","Northern Uganda","Western Uganda"]	["AnophelesAlbimanus.txt::location","UgandaMaternal.txt::City","FARMM_metagenomics.txt::City","EMP_10249_ECAM.txt::village","Malaysia_Helminth.txt::location","PIH_Uganda.txt::location"]	EUPATH_0000452
HP_0000238	Hydrocephalus	string	Signs and symptoms	Participant	Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.							2	["Nonpostinfectious hydrocephalus (NPIH)","Postinfectious hydrocephalus (PIH)"]	["PIH_Uganda.txt::hydrocephalus"]	
EUPATH_0000587	Environment information		Community	Sample	An information content entity about environmental material, environmental feature, environmental system, etc.										
EUPATH_0011996	Sample details		Sample	Sample											
