iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0000659	Sample collection process		Sample	Sample											
OBI_0100051	Sample type	string	Sample details	Sample								1	["Stool"]	["Resistome.txt::sample_type"]	
UBERON_0000061	Host body site	string	Participant	Sample	name of body site where the sample was obtained from							1	["Colon"]	["Resistome.txt::body_site"]	
UBERON_0000463	Host body product	string	Participant	Sample	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA							1	["Feces"]	["Resistome.txt::body_product"]	
UBERON_0000466	Host body habitat	string	Participant	Sample	original body habitat where the sample was obtained from							1	["Colon"]	["Resistome.txt::body_habitat"]	
EUPATH_0009097	Postmenstrual age at sample collection	number	Sample collection process	Sample		170.8	318.5	221.439152119701	222.6	235.9	208.6	103		["Resistome.txt::Postmenstrual age at sample collection"]	
EUPATH_0009246	Metagenome pathway and function analysis		Data analysis	Metagenomic sequencing assay											
EUPATH_0009247	4th level EC metagenome abundance data		Metagenome pathway and function analysis	Metagenomic sequencing assay											
EUPATH_0009247_1_10_2_2	1.10.2.2: Quinol--cytochrome-c reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.190323	360.0832	24.2116514375	6.2802125	21.085625	2.033059	144			
EUPATH_0009247_1_10_3_10	1.10.3.10: Ubiquinol oxidase (H(+)-transporting)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.216194	119.2188	21.7592980769231	15.4993	31.6506	5.66697	91			
EUPATH_0009247_1_10_3_14	1.10.3.14: Ubiquinol oxidase (electrogenic, non H(+)-transporting)	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		10.25466	141.4249	64.5437509090909	57.1922	93.2503	34.44685	11			
EUPATH_0009247_1_10_99_2	1.10.99.2: Transferred entry: 1.10.5.1	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		5.41737	14.6879	9.07095	7.10758	10.89774	6.262475	3	["5.417370","7.107580","14.687900"]		
EUPATH_0009247_1_10_9_1	1.10.9.1: Plastoquinol--plastocyanin reductase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.225859	70.9848	10.40949252	4.67736	7.92643	1.58774	25			
EUPATH_0009247_1_11_1_1	1.11.1.1: NADH peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.394239	409.92136	77.1269561953353	30.51317	98.18976	9.184445	343			
EUPATH_0009247_1_11_1_10	1.11.1.10: Chloride peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.475871	343.86077	72.6960945346939	63.2359	97.47287	20.8025	245			
EUPATH_0009247_1_11_1_15	1.11.1.15: Peroxiredoxin	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		133.957088	1993.54214	633.424556884422	574.8911605	746.47862	465.509202	398			
EUPATH_0009247_1_11_1_21	1.11.1.21: Catalase peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.536656	700.7999	103.291588654179	95.281276	131.71708	67.447152	347			
EUPATH_0009247_1_11_1_5	1.11.1.5: Cytochrome-c peroxidase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		0.214216	296.789	33.5456615990991	26.943733	45.004706	8.756674	222			
EUPATH_0009247_1_11_1_6	1.11.1.6: Catalase	number	4th level EC metagenome abundance data	Metagenomic sequencing assay		30.0346	765.01853	196.84278564899	164.863061	239.723249	122.2960715	396			
