iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000587	Environment information		Community	Sample	An information content entity about environmental material, environmental feature, environmental system, etc.										
EUPATH_0011996	Sample details		Sample	Sample											
OBI_0000659	Sample collection process		Sample	Sample											
ENVO_01000739	Habitat	string	Environment information	Sample	An environmental system which can sustain and allow the growth of an ecological population.							1	["Human"]	["NICUDischarge.txt::env_feature"]	ENVO_00002297
OBI_0100051	Sample type	string	Sample details	Sample	A material entity that has the specimen role.							1	["Stool"]	["NICUDischarge.txt::sample_type"]	
UBERON_0000061	Host body site	string	Participant	Sample	name of body site where the sample was obtained from							1	["Colon"]	["NICUDischarge.txt::body_site"]	
UBERON_0000463	Host body product	string	Participant	Sample	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA							1	["Feces"]	["NICUDischarge.txt::body_product"]	
UBERON_0000466	Host body habitat	string	Participant	Sample	original body habitat where the sample was obtained from							1	["Colon"]	["NICUDischarge.txt::body_habitat"]	
EUPATH_0009097	Postmenstrual age at sample collection	string	Sample collection process	Sample		184.06	893.48	405.141336515513	347.26	553.98	245.635	429	["184.06","184.82","185.23","192.59","194.11","194.47","195.31","196.72","197.77","198.58","199.57","199.78","200.75","200.88","202.08","202.62","202.68","202.93","204.08","204.4","205.71","206.87","207.76","209.2","209.67","209.93","209.98","210.01","210.24","211.01","211.46","211.58","211.86","212.76","212.92","213.75","214.04","214.22","215.08","216","216.3","217.15","217.69","217.81","217.96","218.24","218.26","218.57","219.2","219.39","219.52","219.86","219.87","219.94","219.98","220.91","222.37","222.44","223.23","223.73","224.61","225.26","225.79","226.23","226.65","226.93","227.14","227.94","228.02","228.65","229.4","229.87","230.23","230.51","230.66","230.94","230.96","231","233.03","233.35","233.43","233.87","234.24","234.27","235.08","235.45","235.8","236.42","236.67","236.85","237.02","237.99","238.38","238.87","239.04","239.54","240.12","240.6","243.84","244.62","244.62 days","244.98","245.04","245.1","245.11","245.49","245.78","246.1","246.14","246.36","246.63","247.21","248.17","248.22","248.6","248.6 days","248.66","248.97","249.2","249.39","250.18","250.69","250.84","251.03","251.22","251.45","251.61","251.62","251.73","252.08","253.22","254.74","255.73","256.46","256.56","256.92","259.23","259.32","260.69","261.07","261.83","261.96","262.07","263","264.09","264.34","264.68","265.42","265.7","265.79","266","266.2","266.26","266.37","266.38","266.39","267.42","269.38","269.9","271.34","271.8","274.87","275.59","275.79","276.66","276.87","277.18","277.48","278.89","278.92","280.58","283.09","283.8","286.17","287.42","288.95","288.99","289.86","290.88","291.05","292.37","292.37 days","292.61","295.39","296.57","296.58","298.29","298.81","302.38","303.5","303.56","306.47","306.86","307.72","307.72 days","309.51","310.85","312.36","313.44","317.44","317.5","318.1","319.63","319.63 days","321.04","324.42","324.49","325.05","328.37","334.53","336.65","341.46","342.5","347.03","347.26","355.44","355.46","360.82","360.83","362.31","362.75","369.98","375.42","375.54","375.61","376.05","377.67","378.79","378.86","378.92","379.29","379.59","380.86","381.35","383.37","383.42","387.4","387.42","387.66","388.08","388.57","388.96","389.72","390.34","390.56","390.81","394.4","396.05","397.46","401.75","402.31","404.83","406.53","408.37","416.49","416.52","417.19","419.87","422.33","423.31","423.38","429.68","435.85","437.72","438.4","439.09","444.49","446.85","446.85 days","450.3","450.72","452.5","456.94","458.4","459.89","461.49","461.85","466.45","467.51","468.88","474.94","476.8","478.58","479.14","480.61","482.03","482.04","483.69","484.73","485.42","487.34","487.67","487.69","491.5","493.22","494.65","494.66","494.86","494.89","499","501.05","501.09","504.31","504.58","504.61","514.54","515.85","516.9","517.73","527.58","541.44","542.15","543.5","543.75","543.77","544.91","549.19","551.22","551.92","553.64","554.32","554.47","555.4","555.44","556.13","556.4","556.68","558.05","558.73","558.86","558.91","561.7","563.6","565.35","565.42","567.38","569.55","573.63","574.79","575.35","577.71","582.07","582.07 days","584.72","586.49","586.68","587.31","588.01","590.91","596.2","598.56","603.35","604.72","604.73","614.13","618.47","622.41","626.31","626.35","626.44","626.67","626.78","628.7","631.76","634.75","634.96","641.04","642.07","642.16","644.83","646.35","646.63","647.96","649.52","651.36","653.24","658.49","660.79","662.74","663.48","666.45","674.65","677.04","678.81","682.36","684.88","689.64","689.64 days","692.8","694.65","694.66","694.67","695.71","695.71 days","701.32","703.43","711.61","712.7","718.34","719.42","747.83","771.36","771.41","777.79","777.83","779.65","781.57","787.59","787.61","788.82","791.44","793.54","794.62","796.74","797.85","798.46","798.63","832.45","855","858.38","861.57","874.68","877.33","882.71","882.72","882.73","887.63","887.63 days","893.48"]	["NICUDischarge.txt::Postmenstrual age at sample collection"]	
EUPATH_0042001	Labor and delivery		Obstetrics	Participant											
EUPATH_0010981	Demographics		Participant	Participant											
EUPATH_0000649	Anthropometry		Participant	Participant											
EUPATH_0042002	Obstetrics		Participant	Participant											
EUPATH_0000310	Observation details		Participant	Participant											
OGMS_0000090	Treatment		Participant	Participant	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder									["Ciara_V4.txt::Treatment"]	
EUPATH_0036493	Maternal clinical history		Participant	Participant											
