iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0042004	Pregnancy		Obstetrics	Participant											
EUPATH_0042001	Labor and delivery		Obstetrics	Participant											
GSSO_004872	Vaginal infection	string	Obstetrics	Participant								3	["NA","No","Yes"]	["UgandaMaternal.txt::Vaginal infection"]	
ENVO_00000009	Country	string	Geographic location	Participant								1	["Uganda"]	["UgandaMaternal.txt::country"]	ENVO_00000004
ENVO_00000856	City, village, or region	string	Geographic location	Participant	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512)  (http://purl.bioontology.org/ontology/GAZ)							2	["Mbale","Mbarara"]	["UgandaMaternal.txt::City"]	EUPATH_0000452
GAZ_00000448	Geographic location		Community	Participant											
EUPATH_0000309	Signs and symptoms		Participant	Participant											
EUPATH_0010981	Demographics		Participant	Participant											
OGMS_0000015	Clinical history		Participant	Participant											
EUPATH_0042002	Obstetrics		Participant	Participant											
EUPATH_0021002	Symptoms		Signs and symptoms	Participant											
EUPATH_0000581	Delivery mode	string	Labor and delivery	Participant	Method of delivery (newborn)							4	["Cesarean","No","Vaginal","Yes"]	["UgandaMaternal.txt::Delivery Mode"]	
EUPATH_0009109	Fever during labor	string	Labor and delivery	Participant								2	["No","Yes"]	["UgandaMaternal.txt::Fever during labor"]	
EUPATH_0038078	Delivery duration	string	Labor and delivery	Participant		0	120	29.2083333333333	19	47	7.5	56	["0","0.5","1","10","10 hours","12 hours","13 hours","14","16","16 hours","17 hours","2","20 hours","24 hours","3","4","5","6","7","13","17","18","18 hours","20","22","23","23 hours","24","28","30","32","36","36 hours","4 hours","46","48","48 hours","49","120","49 hours","52 hours","6 hours","8","9","12","52","58","65","72","72 hours","8 hours","85","85 hours","9 hours","96","96 hours"]	["UgandaMaternal.txt::Delivery duration"]	
EUPATH_0009036	Antibiotics before delivery, by maternal report	string	Pregnancy	Participant	Mom reported antibiotic use during pregnancy							3	["NA","No","Yes"]	["UgandaMaternal.txt::Antibiotic use"]	
EUPATH_0033193	HIV status	string	Clinical history	Participant								3	["Negative","Positive","Unknown"]	["UgandaMaternal.txt::HIV status"]	
EUPATH_0051011	Previous pregnancies count	integer	Clinical history	Participant		1	10	2.56565656565657	2	3	1	9	["1","2","3","4","5","6","7","9","10"]	["UgandaMaternal.txt::Number of previous pregnancies"]	
PATO_0000047	Sex	string	Demographics	Participant	physical sex of the host							1	["Female"]	["UgandaMaternal.txt::Sex"]	
OBI_0001169	Age	string	Demographics	Participant	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.,the animal's or human's age counted in days	18	39	28.3809523809524	28	34	23	38	["18","18 years","19","19 years","20","20 years","21","21 years","22","22 years","23","23 years","24","24 years","25","25 years","26","26 years","27","27 years","28","28 years","29","29 years","30","30 years","32","32 years","33","33 years","34","34 years","35","36","36 years","37","38","39"]	["UgandaMaternal.txt::Age (years)"]	EUPATH_0000579
SYMP_0019174	Chills	string	Symptoms	Participant								3	["NA","No","Yes"]	["UgandaMaternal.txt::Chills reported"]	
EUPATH_0000587	Environment information		Community	Sample	An information content entity about environmental material, environmental feature, environmental system, etc.										
EUPATH_0033308	Plasmodium in blood		Eukaryota in blood	Sample											
